Date,Close,Volume,Open,High,Low,month,day,year
31-12-2020,141.47,2949915,141.7,141.79,140.37,12,31,2020
30-12-2020,141.58,3052122,142.16,142.61,140.66,12,30,2020
29-12-2020,141.57,3232430,142.83,143.06,140.43,12,29,2020
28-12-2020,142.43,4081534,142.54,142.92,141.0438,12,28,2020
24-12-2020,141.6,1821900,141.1,142.19,141.1,12,24,2020
23-12-2020,141.76,3388279,142.56,143.6,141.7,12,23,2020
22-12-2020,142.45,6341604,143.05,143.47,141.09,12,22,2020
21-12-2020,144.02,16111270,144.82,147.95,142.51,12,21,2020
18-12-2020,137.28,17970790,141.09,141.14,137.17,12,18,2020
17-12-2020,140.5,8726997,139.92,140.74,138.75,12,17,2020
16-12-2020,138.34,6573449,139.07,140.49,137.46,12,16,2020
15-12-2020,139.39,7642595,137.43,139.44,137.2491,12,15,2020
14-12-2020,136.28,7598952,138.92,139,136.2,12,14,2020
11-12-2020,137.41,4172439,137.39,138.14,136.23,12,11,2020
10-12-2020,137.58,4511003,138.28,139.14,137.24,12,10,2020
09-12-2020,138.79,4341305,140.57,140.57,138.27,12,9,2020
08-12-2020,139.12,6953582,138.24,140.4373,137.65,12,8,2020
07-12-2020,138.75,4590776,137,138.86,136.8,12,7,2020
04-12-2020,137.19,4344036,137.08,137.4,135.64,12,4,2020
03-12-2020,136.96,4930860,135.1,137.95,135,12,3,2020
02-12-2020,135.58,4132965,135.16,136.32,134.67,12,2,2020
01-12-2020,135.44,3834460,136.44,136.5,134.75,12,1,2020
30-11-2020,134.7,9652509,133.91,135.29,132.69,11,30,2020
27-11-2020,134.25,3506832,136,136.13,133.34,11,27,2020
25-11-2020,135.54,4484836,134.25,135.7999,133.62,11,25,2020
24-11-2020,134.7,7205789,135,135.99,134.21,11,24,2020
23-11-2020,134.13,6119342,134.38,134.89,133.09,11,23,2020
20-11-2020,132.98,4320046,133.3,133.53,131.91,11,20,2020
19-11-2020,131.91,4642765,131.92,132.11,129.93,11,19,2020
18-11-2020,131.63,5573008,133.07,133.98,131.53,11,18,2020
17-11-2020,132.21,7002945,130.48,132.6,129.11,11,17,2020
16-11-2020,130.11,6116435,129.46,130.32,127.37,11,16,2020
13-11-2020,128.28,3986719,127.91,128.6,126.83,11,13,2020
12-11-2020,126.64,4797416,126.62,127.8386,125.625,11,12,2020
11-11-2020,127.66,6058668,128.69,129.7985,127.18,11,11,2020
10-11-2020,127.71,8014744,130.05,130.115,126.25,11,10,2020
09-11-2020,128.95,7491728,135.06,136.35,128.7652,11,9,2020
06-11-2020,128.9,2954049,129.91,129.91,128.3477,11,6,2020
05-11-2020,129.7,3940003,129.19,130.41,128.46,11,5,2020
04-11-2020,127.34,5061798,125.33,128.93,125.26,11,4,2020
03-11-2020,124.59,3490891,124.01,125.5,123.19,11,3,2020
02-11-2020,122.39,4740373,122.37,124.1,121.1,11,2,2020
30-10-2020,120.08,7792405,123.66,123.66,118.8,10,30,2020
29-10-2020,122.86,4947049,122.28,124.19,121.15,10,29,2020
28-10-2020,122.08,8618312,125.28,126.4,121.04,10,28,2020
27-10-2020,127.99,2985686,128.78,129.49,127.9,10,27,2020
26-10-2020,128.37,5422455,129.06,129.62,126.68,10,26,2020
23-10-2020,129.99,4046580,130,130.6,128.65,10,23,2020
22-10-2020,130.02,2870984,129.6,130.26,128.8601,10,22,2020
21-10-2020,129.43,4916342,128.5,131.38,128.45,10,21,2020
20-10-2020,128.49,3800038,128,129.9,127.72,10,20,2020
19-10-2020,127.43,5160899,129.1,129.78,127.05,10,19,2020
16-10-2020,128,6011173,129.51,130.19,127.55,10,16,2020
15-10-2020,129,4236054,126.48,129.0999,126.11,10,15,2020
14-10-2020,127.66,3587295,129.53,129.6,127.01,10,14,2020
13-10-2020,129.2,4245130,128.05,129.87,127.96,10,13,2020
12-10-2020,129.46,5136511,131.19,131.34,129.26,10,12,2020
09-10-2020,130.98,4293374,129.99,131.19,129.3254,10,9,2020
08-10-2020,129.71,3595578,130.4,130.9289,129.51,10,8,2020
07-10-2020,130.06,4390483,128.4,130.41,128.25,10,7,2020
